hash,s_num,rarity,bg,body,misc,hand
,,,,,,
2091965301905254717,CryptoStykz #189,2.07,"('imgs\\background\\.6\\building3.png', 0.6)","('imgs\\Stick Bodies\\.5\\wu10.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.07\\rocket launcher2.png', 0.07)"
,,,,,,
-423780220578864627,CryptoStykz #190,2.3,"('imgs\\background\\.6\\cityscape2-jon5.png', 0.6)","('imgs\\Stick Bodies\\.5\\stkeh6z12.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\revolver glitch.png', 0.3)"
,,,,,,
4668697790632325473,CryptoStykz #191,2.05,"('imgs\\background\\.6\\reality crack5.png', 0.6)","('imgs\\Stick Bodies\\.15\\Xenomorph_Creature.png', 0.15)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\V2 collection - Knife 1 parque.png', 0.4)"
,,,,,,
4378703030829228954,CryptoStykz #192,1.45,"('imgs\\background\\.1\\dead zone0.png', 0.1)","('imgs\\Stick Bodies\\.3\\cowboy.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.15\\lasergun2 lightning.png', 0.15)"
,,,,,,
275168094278119167,CryptoStykz #193,1.57,"('imgs\\background\\.1\\stairs.png', 0.1)","('imgs\\Stick Bodies\\.5\\Ninjor2=)1ku2.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.07\\beretta 92fs elite firing.png', 0.07)"
,,,,,,
7295748597271544943,CryptoStykz #194,1.53,"('imgs\\background\\.3\\forest4.png', 0.3)","('imgs\\Stick Bodies\\.3\\ob9 Headless.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.03\\real sword 2 caution.png', 0.03)"
,,,,,,
-1935567979930725093,CryptoStykz #195,2.1,"('imgs\\background\\.3\\roof5.png', 0.3)","('imgs\\Stick Bodies\\.5\\1337squadbasefghd.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\g36 ke blue grid.png', 0.4)"
,,,,,,
-682277153528286107,CryptoStykz #196,1.8,"('imgs\\background\\.1\\V2 collection - Back Scene 20.png', 0.1)","('imgs\\Stick Bodies\\.5\\archer man.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\tommy gun glitch.png', 0.3)"
,,,,,,
-8281112105789494620,CryptoStykz #197,1.8,"('imgs\\background\\.3\\stairs6.png', 0.3)","('imgs\\Stick Bodies\\.3\\ob9 Headless.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\p90 qbert.png', 0.3)"
,,,,,,
-7781798685774571344,CryptoStykz #198,1.95,"('imgs\\background\\.6\\cityscape2-jon5.png', 0.6)","('imgs\\Stick Bodies\\.3\\ob9 Headless.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.15\\real gun2 3d green.png', 0.15)"
,,,,,,
-1015816107781200782,CryptoStykz #199,2.15,"('imgs\\background\\.6\\buildings4.png', 0.6)","('imgs\\Stick Bodies\\.5\\realistic_man.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.15\\basicglock glitch colored.png', 0.15)"
,,,,,,
-1088505333190435651,CryptoStykz #200,1.9,"('imgs\\background\\.3\\dead zone1.png', 0.3)","('imgs\\Stick Bodies\\.3\\ob9 Headless.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\steyr aug.png', 0.4)"
,,,,,,
-7718604262885963117,CryptoStykz #201,2.15,"('imgs\\background\\.6\\3droom24.png', 0.6)","('imgs\\Stick Bodies\\.5\\royster.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.15\\beretta 92fs elite lightning.png', 0.15)"
,,,,,,
-3201538804487909116,CryptoStykz #202,2.4,"('imgs\\background\\.6\\cityscape2-jon1.png', 0.6)","('imgs\\Stick Bodies\\.5\\stkeh6z12.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\fn2000 hippie.png', 0.4)"
,,,,,,
-2846321723233089943,CryptoStykz #203,1.95,"('imgs\\background\\.6\\reality crack5.png', 0.6)","('imgs\\Stick Bodies\\.15\\dino.png', 0.15)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\Bert pistol stoner.png', 0.3)"
,,,,,,
3557653202856746481,CryptoStykz #204,2.4,"('imgs\\background\\.6\\V2 collection - Catwalk with ladder3.png', 0.6)","('imgs\\Stick Bodies\\.5\\flamez_stk8q8.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\xpswords40 green.png', 0.4)"
,,,,,,
6083541874751680118,CryptoStykz #205,2.2,"('imgs\\background\\.6\\basic village section 21.png', 0.6)","('imgs\\Stick Bodies\\.3\\cowboy.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\steyr tmp wood.png', 0.4)"
,,,,,,
3463353573063177644,CryptoStykz #206,1.65,"('imgs\\background\\.3\\forest0.png', 0.3)","('imgs\\Stick Bodies\\.15\\elephant.png', 0.15)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\hatori hanzo sword stoner.png', 0.3)"
,,,,,,
8732996751536059942,CryptoStykz #207,2.1,"('imgs\\background\\.6\\outer space2.png', 0.6)","('imgs\\Stick Bodies\\.3\\cowboy.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\real gun glitch.png', 0.3)"
,,,,,,
1348805571441205445,CryptoStykz #208,1.285,"('imgs\\background\\.6\\bridge1.png', 0.6)","('imgs\\Stick Bodies\\.3\\ob9 Headless.png', 0.3)","('imgs\\Misc\\.085\\picto shorts.png', 0.085)","('imgs\\weapons\\.3\\chaingun_hippie.png', 0.3)"
,,,,,,
2377648308407012250,CryptoStykz #209,2.03,"('imgs\\background\\.6\\outer space5.png', 0.6)","('imgs\\Stick Bodies\\.5\\flamez_stk8q8.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.03\\sniper rifle caution.png', 0.03)"
,,,,,,
-4422510303702257935,CryptoStykz #210,1.85,"('imgs\\background\\.6\\3droom0.png', 0.6)","('imgs\\Stick Bodies\\.3\\ob9 Headless.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.05\\sniper rifle wood3.png', 0.05)"
,,,,,,
8653240671109882191,CryptoStykz #211,1.75,"('imgs\\background\\.3\\V2 collection - Back Scene 21.png', 0.3)","('imgs\\Stick Bodies\\.5\\Berten.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.05\\V2 collection - Knife 1 stripes.png', 0.05)"
,,,,,,
961443683442494685,CryptoStykz #212,1.135,"('imgs\\background\\.6\\outer space8.png', 0.6)","('imgs\\Stick Bodies\\.05\\b0x0r.png', 0.05)","('imgs\\Misc\\.085\\carmageddon trgg.png', 0.085)","('imgs\\weapons\\.4\\m249 spw rocks.png', 0.4)"
,,,,,,
1974905369885691954,CryptoStykz #213,2.1,"('imgs\\background\\.6\\basic village section 20.png', 0.6)","('imgs\\Stick Bodies\\.3\\god.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\m16 glitch.png', 0.3)"
,,,,,,
-5954889827804598683,CryptoStykz #214,1.72,"('imgs\\background\\.6\\outer space7.png', 0.6)","('imgs\\Stick Bodies\\.15\\elephant.png', 0.15)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.07\\rocket launcher1 green.png', 0.07)"
,,,,,,
-4867037175849408479,CryptoStykz #215,2.15,"('imgs\\background\\.6\\3droom2.png', 0.6)","('imgs\\Stick Bodies\\.5\\sephy_stk1hg4.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.15\\real gun2 stone.png', 0.15)"
,,,,,,
-5853910770352972861,CryptoStykz #216,2.4,"('imgs\\background\\.6\\3d room 4.png', 0.6)","('imgs\\Stick Bodies\\.5\\wu tang fighter.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\oc14 groza_bayonet_filled.png', 0.4)"
,,,,,,
-7974997104013846384,CryptoStykz #217,1.42,"('imgs\\background\\.3\\6.png', 0.3)","('imgs\\Stick Bodies\\.15\\horse.png', 0.15)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.07\\silenced_sniper wood.png', 0.07)"
,,,,,,
456810535645181695,CryptoStykz #218,1.55,"('imgs\\background\\.1\\Chinahouse.png', 0.1)","('imgs\\Stick Bodies\\.15\\horse.png', 0.15)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\M4Commando cork.png', 0.4)"
,,,,,,
5586660305969404558,CryptoStykz #219,1.8,"('imgs\\background\\.3\\stairs3.png', 0.3)","('imgs\\Stick Bodies\\.3\\god.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\sniper rifle 3d glitch.png', 0.3)"
,,,,,,
8153382305433882899,CryptoStykz #220,2.1,"('imgs\\background\\.6\\cityscape2-jon2.png', 0.6)","('imgs\\Stick Bodies\\.3\\general grevious.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\spear stoner.png', 0.3)"
,,,,,,
7390755724432485654,CryptoStykz #221,1.75,"('imgs\\background\\.3\\dead zone5.png', 0.3)","('imgs\\Stick Bodies\\.15\\horse.png', 0.15)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\hatori hanzo sword bricks.png', 0.4)"
,,,,,,
-3468426102045134053,CryptoStykz #222,2,"('imgs\\background\\.3\\roof6.png', 0.3)","('imgs\\Stick Bodies\\.5\\poly skirt.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\shotgun blue grid.png', 0.3)"
,,,,,,
-1987852771013690847,CryptoStykz #223,2.05,"('imgs\\background\\.6\\mountains_Bolt1.png', 0.6)","('imgs\\Stick Bodies\\.15\\elephant.png', 0.15)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\basicglock_hippie.png', 0.4)"
,,,,,,
-640292422312247853,CryptoStykz #224,1.8,"('imgs\\background\\.3\\11.png', 0.3)","('imgs\\Stick Bodies\\.3\\Schoolgirl.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\real gun2 qbert.png', 0.3)"
,,,,,,
4600407104167345184,CryptoStykz #225,2.4,"('imgs\\background\\.6\\basic village section 24.png', 0.6)","('imgs\\Stick Bodies\\.5\\OmegaBert4.1.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\ump.png', 0.4)"
,,,,,,
-4468465162608440015,CryptoStykz #226,2.1,"('imgs\\background\\.6\\outer space8.png', 0.6)","('imgs\\Stick Bodies\\.3\\cowboy.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\sr25 red cubes.png', 0.3)"
,,,,,,
-3791203884107091353,CryptoStykz #227,1.7,"('imgs\\background\\.1\\building0.png', 0.1)","('imgs\\Stick Bodies\\.3\\cowboy.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\ninja_star green fill.png', 0.4)"
,,,,,,
3593286559222431736,CryptoStykz #228,2.3,"('imgs\\background\\.6\\mountains_Bolt5.png', 0.6)","('imgs\\Stick Bodies\\.5\\ob9.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\samuraiswords19.png', 0.3)"
,,,,,,
-6192666548607199423,CryptoStykz #229,1.9,"('imgs\\background\\.3\\dead zone2.png', 0.3)","('imgs\\Stick Bodies\\.3\\god.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\storm gun.png', 0.4)"
,,,,,,
5607475876793851590,CryptoStykz #230,0.885,"('imgs\\background\\.1\\stairs cracks.png', 0.1)","('imgs\\Stick Bodies\\.3\\ob9 Headless.png', 0.3)","('imgs\\Misc\\.085\\carmageddon trgg.png', 0.085)","('imgs\\weapons\\.4\\vss vintorez.png', 0.4)"
,,,,,,
4653667382599817680,CryptoStykz #231,2,"('imgs\\background\\.3\\7.png', 0.3)","('imgs\\Stick Bodies\\.5\\Stickslaughter_stkrr4s.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\rk95 suppressed fibers.png', 0.3)"
,,,,,,
8676717444162830941,CryptoStykz #232,1.95,"('imgs\\background\\.6\\outer space5.png', 0.6)","('imgs\\Stick Bodies\\.15\\Xenomorph_Creature.png', 0.15)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\shotgun wood.png', 0.3)"
,,,,,,
-9079705010743634584,CryptoStykz #233,1.45,"('imgs\\background\\.1\\3d room.png', 0.1)","('imgs\\Stick Bodies\\.05\\pivot2defaultstk.png', 0.05)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\colt c15 3d green.png', 0.4)"
,,,,,,
-7464079130903860726,CryptoStykz #234,2.3,"('imgs\\background\\.6\\V2 collection - Back Scene4.png', 0.6)","('imgs\\Stick Bodies\\.5\\army dude.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\fn scar f glitch.png', 0.3)"
,,,,,,
7429511204194031603,CryptoStykz #235,2.05,"('imgs\\background\\.6\\reality crack4.png', 0.6)","('imgs\\Stick Bodies\\.15\\dino.png', 0.15)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\gun3 bricks.png', 0.4)"
,,,,,,
2214006564576997400,CryptoStykz #236,2.05,"('imgs\\background\\.6\\3droom3.png', 0.6)","('imgs\\Stick Bodies\\.15\\elephant.png', 0.15)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\neostead rga 12.png', 0.4)"
,,,,,,
2969304482960894326,CryptoStykz #237,2.15,"('imgs\\background\\.6\\reality crack3.png', 0.6)","('imgs\\Stick Bodies\\.5\\Ninjaguylpz.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.15\\fn scar gl lightning.png', 0.15)"
,,,,,,
7490088220787594349,CryptoStykz #238,2.2,"('imgs\\background\\.6\\bridge2.png', 0.6)","('imgs\\Stick Bodies\\.3\\god.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\uzi fibers.png', 0.4)"
,,,,,,
4378034260269725256,CryptoStykz #239,1.8,"('imgs\\background\\.3\\battle stadium3.png', 0.3)","('imgs\\Stick Bodies\\.3\\god.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\cannon_bolt qbert.png', 0.3)"
,,,,,,
6413644556708597610,CryptoStykz #240,2,"('imgs\\background\\.3\\V2 collection - Back Scene 25.png', 0.3)","('imgs\\Stick Bodies\\.5\\Wuerte.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\rifle electric blue.png', 0.3)"
,,,,,,
6826683897125306096,CryptoStykz #241,1.77,"('imgs\\background\\.3\\dead zone5.png', 0.3)","('imgs\\Stick Bodies\\.5\\realistic_man.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.07\\rocket launcher2 hippie.png', 0.07)"
,,,,,,
1304019581859640375,CryptoStykz #242,1.8,"('imgs\\background\\.3\\forest2.png', 0.3)","('imgs\\Stick Bodies\\.3\\general grevious.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\samuraiswords00.png', 0.3)"
,,,,,,
-1056779061811731516,CryptoStykz #243,2.07,"('imgs\\background\\.6\\V2 collection - Catwalk with ladder5.png', 0.6)","('imgs\\Stick Bodies\\.5\\Joe.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.07\\rocket launcher2 blue.png', 0.07)"
,,,,,,
2651604055501038675,CryptoStykz #244,1.06,"('imgs\\background\\.6\\buildings5.png', 0.6)","('imgs\\Stick Bodies\\.05\\pivot2defaultstk.png', 0.05)","('imgs\\Misc\\.01\\trgg sig 19.png', 0.01)","('imgs\\weapons\\.4\\m16a1 granite.png', 0.4)"
,,,,,,
5687647532689837657,CryptoStykz #245,2,"('imgs\\background\\.3\\forest1.png', 0.3)","('imgs\\Stick Bodies\\.5\\yoshimitsu.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\katana glitch.png', 0.3)"
,,,,,,
-5703577784032157279,CryptoStykz #246,1.75,"('imgs\\background\\.3\\ghost town2.png', 0.3)","('imgs\\Stick Bodies\\.15\\horse.png', 0.15)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\spas 12 rain.png', 0.4)"
,,,,,,
1549739774165798438,CryptoStykz #247,1.5,"('imgs\\background\\.3\\13.png', 0.3)","('imgs\\Stick Bodies\\.15\\elephant.png', 0.15)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.15\\portalgun blue web.png', 0.15)"
,,,,,,
-7755993123780839106,CryptoStykz #248,1.8,"('imgs\\background\\.1\\bench area by jon6.png', 0.1)","('imgs\\Stick Bodies\\.5\\man.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\sako-trg42 granite.png', 0.3)"
,,,,,,
6688484498244766462,CryptoStykz #249,2.3,"('imgs\\background\\.6\\bridge1.png', 0.6)","('imgs\\Stick Bodies\\.5\\kid.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\sar21.png', 0.3)"
,,,,,,
-2582172651107114585,CryptoStykz #250,1.8,"('imgs\\background\\.6\\3droom2.png', 0.6)","('imgs\\Stick Bodies\\.15\\elephant.png', 0.15)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.15\\real gun2 chocolate swirl.png', 0.15)"
,,,,,,
-7862244380194130063,CryptoStykz #251,2.1,"('imgs\\background\\.3\\16.png', 0.3)","('imgs\\Stick Bodies\\.5\\TRGG cyborg.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\ak74u pine.png', 0.4)"
,,,,,,
-5359309016169552757,CryptoStykz #252,1.8,"('imgs\\background\\.6\\3d room 6.png', 0.6)","('imgs\\Stick Bodies\\.15\\horse.png', 0.15)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.15\\sai sword.png', 0.15)"
,,,,,,
-459636449654266237,CryptoStykz #253,1.485,"('imgs\\background\\.6\\mountains_Bolt0.png', 0.6)","('imgs\\Stick Bodies\\.5\\Wu11.png', 0.5)","('imgs\\Misc\\.085\\jinja sig.png', 0.085)","('imgs\\weapons\\.3\\mp9 stoner.png', 0.3)"
,,,,,,
3343217274470569819,CryptoStykz #254,2.1,"('imgs\\background\\.3\\battle stadium0.png', 0.3)","('imgs\\Stick Bodies\\.5\\bioshock.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\ak74u rocks.png', 0.4)"
,,,,,,
-7666002503588042522,CryptoStykz #255,2.3,"('imgs\\background\\.6\\basic village section 23.png', 0.6)","('imgs\\Stick Bodies\\.5\\Rl3s9.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\glock18 extended clip qbert.png', 0.3)"
,,,,,,
2740516138396699780,CryptoStykz #256,2,"('imgs\\background\\.3\\bench area by jon5.png', 0.3)","('imgs\\Stick Bodies\\.5\\Ob8.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\chaingun_leather.png', 0.3)"
,,,,,,
-6297030545924509091,CryptoStykz #257,2.4,"('imgs\\background\\.6\\basic village section 20.png', 0.6)","('imgs\\Stick Bodies\\.5\\Armored Wu.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\g33 marble2.png', 0.4)"
,,,,,,
-3714337393214263982,CryptoStykz #258,1.57,"('imgs\\background\\.1\\stairs cracks.png', 0.1)","('imgs\\Stick Bodies\\.5\\stkeh6z12.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.07\\rocket launcher2.png', 0.07)"
,,,,,,
-5062316819770380763,CryptoStykz #259,2.3,"('imgs\\background\\.6\\3droom1.png', 0.6)","('imgs\\Stick Bodies\\.5\\OmegaBert5.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\samuraiswords16.png', 0.3)"
,,,,,,
129686608969595734,CryptoStykz #260,1.9,"('imgs\\background\\.3\\V2 collection - Back Scene 23.png', 0.3)","('imgs\\Stick Bodies\\.3\\Schoolgirl.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\sig 552 recessed.png', 0.4)"
,,,,,,
6270125555258537664,CryptoStykz #261,1.585,"('imgs\\background\\.6\\building3.png', 0.6)","('imgs\\Stick Bodies\\.5\\wu tang fighter.png', 0.5)","('imgs\\Misc\\.085\\p911 sig.png', 0.085)","('imgs\\weapons\\.4\\fn scar f bricks.png', 0.4)"
,,,,,,
-5675879980052709143,CryptoStykz #262,1.135,"('imgs\\background\\.6\\building3.png', 0.6)","('imgs\\Stick Bodies\\.3\\ob9 Headless.png', 0.3)","('imgs\\Misc\\.085\\fr490 sig.png', 0.085)","('imgs\\weapons\\.15\\Shipka 3d green.png', 0.15)"
,,,,,,
-7284112272102483847,CryptoStykz #263,1.5,"('imgs\\background\\.3\\V2 collection - Back Scene 25.png', 0.3)","('imgs\\Stick Bodies\\.15\\dino.png', 0.15)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.15\\portalgun blue grid.png', 0.15)"
,,,,,,
2237355078618679607,CryptoStykz #264,1.585,"('imgs\\background\\.6\\outer space0.png', 0.6)","('imgs\\Stick Bodies\\.5\\ob9.png', 0.5)","('imgs\\Misc\\.085\\pistol sig.png', 0.085)","('imgs\\weapons\\.4\\ak74u rocks.png', 0.4)"
,,,,,,
5405578347825324499,CryptoStykz #265,1.8,"('imgs\\background\\.1\\stairs cracks.png', 0.1)","('imgs\\Stick Bodies\\.5\\futurewarrior.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\silenced_sniper qbert.png', 0.3)"
,,,,,,
-6422019126930612621,CryptoStykz #266,1.65,"('imgs\\background\\.1\\dead zone0.png', 0.1)","('imgs\\Stick Bodies\\.5\\Armored Wu.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.15\\psg-1 amethyst.png', 0.15)"
,,,,,,
6804422835489304700,CryptoStykz #267,1.53,"('imgs\\background\\.3\\roof3.png', 0.3)","('imgs\\Stick Bodies\\.3\\cowboy.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.03\\real gun2 caution.png', 0.03)"
,,,,,,
4160879495589039672,CryptoStykz #268,1.3,"('imgs\\background\\.3\\V2 collection - Back Scene 25.png', 0.3)","('imgs\\Stick Bodies\\.05\\pivot2defaultstk.png', 0.05)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.05\\sniper rifle 3d green.png', 0.05)"
,,,,,,
-5743634606996869446,CryptoStykz #269,2.1,"('imgs\\background\\.3\\bench area by jon5.png', 0.3)","('imgs\\Stick Bodies\\.5\\meerkat.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\gm94 rocks.png', 0.4)"
,,,,,,
5919884907166285230,CryptoStykz #270,2.4,"('imgs\\background\\.6\\V2 collection - Back Scene6.png', 0.6)","('imgs\\Stick Bodies\\.5\\Ninjaguylpz.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\V2 collection - Double sided glaive amethyst.png', 0.4)"
,,,,,,
-3739583001080381531,CryptoStykz #271,1.7,"('imgs\\background\\.1\\building0.png', 0.1)","('imgs\\Stick Bodies\\.3\\Schoolgirl.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\gm94 rocks.png', 0.4)"
,,,,,,
-4113129036483343328,CryptoStykz #272,1.8,"('imgs\\background\\.3\\bench area by jon1.png', 0.3)","('imgs\\Stick Bodies\\.3\\god.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\rk95 suppressed fibers.png', 0.3)"
,,,,,,
6755859752680385357,CryptoStykz #273,2.07,"('imgs\\background\\.6\\basic village section 23.png', 0.6)","('imgs\\Stick Bodies\\.5\\Rl3s9.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.07\\amt automag II firing red cubes.png', 0.07)"
,,,,,,
8758706765309445993,CryptoStykz #274,1.95,"('imgs\\background\\.6\\buildings5.png', 0.6)","('imgs\\Stick Bodies\\.3\\Schoolgirl.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.15\\Shipka moon.png', 0.15)"
,,,,,,
-2690131094838796760,CryptoStykz #275,1.335,"('imgs\\background\\.6\\V2 collection - Back Scene4.png', 0.6)","('imgs\\Stick Bodies\\.5\\base_picto.png', 0.5)","('imgs\\Misc\\.085\\jinja sig.png', 0.085)","('imgs\\weapons\\.15\\real sword 2.png', 0.15)"
,,,,,,
779938404424715353,CryptoStykz #276,2.4,"('imgs\\background\\.6\\outer space7.png', 0.6)","('imgs\\Stick Bodies\\.5\\sanada yukimora.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\g33 marble.png', 0.4)"
,,,,,,
7299471312468179346,CryptoStykz #277,2.3,"('imgs\\background\\.6\\outer space0.png', 0.6)","('imgs\\Stick Bodies\\.5\\man_evolved.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\real sword glitch.png', 0.3)"
,,,,,,
-2153014627535615995,CryptoStykz #278,0.985,"('imgs\\background\\.6\\basic village section 21.png', 0.6)","('imgs\\Stick Bodies\\.15\\elephant.png', 0.15)","('imgs\\Misc\\.085\\speech bubble.png', 0.085)","('imgs\\weapons\\.15\\ak47 lightning.png', 0.15)"
,,,,,,
2146330817144832594,CryptoStykz #279,2.1,"('imgs\\background\\.6\\basic village section 20.png', 0.6)","('imgs\\Stick Bodies\\.3\\Schoolgirl.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\cz75automatic firing stars.png', 0.3)"
,,,,,,
-2641897634872166773,CryptoStykz #280,2.3,"('imgs\\background\\.6\\3droom22.png', 0.6)","('imgs\\Stick Bodies\\.5\\Wu11.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\basicglock stars.png', 0.3)"
,,,,,,
